PO Number,Vendor,PO Date,Delivery Date,Expected Delivery,Item Description,Quantity,Unit Price,Total Amount,Currency,Payment Terms,Department,Location,Approval Status,Priority,Notes,Tax Amount,Grand Total,Created By,Assigned To
PO-2026-58877,Quality Distributors,2026-01-22,2026-02-10,2026-02-10,75x Laptop; 77x Router; 31x Monitor; 68x Power Supply; 21x SSD Storage,272,433.33,122223.00,CAD,COD,Finance,Toronto,Rejected,Urgent,Standard delivery,12222.30,134445.30,John Smith,Lisa Anderson
PO-2026-51185,Industrial Parts Group,2026-01-22,2026-02-03,2026-02-03,18x Server RAM,18,764.46,13760.28,USD,2/10 Net 30,Operations,New York,Rejected,Medium,Urgent delivery required,1376.03,15136.31,Robert Wilson,Tom Martinez
PO-2026-42377,Digital Systems,2026-01-22,2026-02-15,2026-02-15,26x SSD Storage; 14x Router,40,145.18,11220.58,AUD,Net 30,Operations,Toronto,Rejected,Urgent,Special packaging needed,1122.06,12342.64,John Smith,David Lee
PO-2026-18192,Premium Materials Co,2026-01-22,2026-02-06,2026-02-06,92x Power Supply; 49x Server RAM,141,144.60,32668.49,GBP,Net 30,HR,New York,Rejected,Medium,Standard delivery,3266.85,35935.34,Emily Chen,Jessica White
PO-2026-59584,Acme Corp,2026-01-22,2026-02-04,2026-02-04,89x Laptop; 56x Filing Cabinet,145,86.68,52289.40,EUR,Net 30,IT,New York,Pending,High,,5228.94,57518.34,John Smith,Jessica White
PO-2026-23217,Tech Solutions Ltd,2026-01-22,2026-02-03,2026-02-03,45x SSD Storage,45,121.04,5446.80,AUD,Net 90,IT,Sydney,Approved,Low,,544.68,5991.48,Sarah Johnson,Alice Brown
PO-2026-67619,Quality Distributors,2026-01-22,2026-02-06,2026-02-06,93x Mouse; 24x Office Desk; 39x Desk Chair,156,231.41,45237.27,CAD,2/10 Net 30,Logistics,New York,Approved,Low,Special packaging needed,4523.73,49761.00,Mike Davis,Tom Martinez
PO-2026-75597,Component World,2026-01-22,2026-02-04,2026-02-04,100x Power Supply,100,563.73,56373.00,EUR,Net 60,HR,Los Angeles,Approved,Low,Special packaging needed,5637.30,62010.30,Mike Davis,Jessica White
PO-2026-83939,Component World,2026-01-22,2026-02-14,2026-02-14,80x Monitor; 38x Router,118,244.01,47592.92,EUR,Due on Receipt,Operations,Chicago,Approved,Low,Special packaging needed,4759.29,52352.21,Emily Chen,Jessica White
PO-2026-31560,Quality Distributors,2026-01-22,2026-02-20,2026-02-20,41x Network Switch; 41x SSD Storage; 64x USB Cable; 68x Keyboard,214,787.53,136843.60,EUR,Net 90,IT,London,Rejected,Medium,Standard delivery,13684.36,150527.96,Mike Davis,Alice Brown
PO-2026-46495,Quality Distributors,2026-01-22,2026-02-04,2026-02-04,53x SSD Storage,53,143.75,7618.75,GBP,Net 30,Finance,Chicago,Approved,Low,,761.88,8380.63,Mike Davis,David Lee
PO-2026-65002,Premium Materials Co,2026-01-22,2026-02-04,2026-02-04,24x USB Cable; 61x Filing Cabinet; 35x Office Desk,120,982.11,99101.55,AUD,Net 30,Logistics,London,Approved,Medium,Special packaging needed,9910.15,109011.71,Robert Wilson,Jessica White
PO-2026-48952,Global Supplies Inc,2026-01-22,2026-02-20,2026-02-20,64x Monitor; 60x Office Desk; 96x Mouse; 75x Network Switch; 98x Network Switch,393,866.04,157432.86,CAD,Due on Receipt,Finance,Toronto,Approved,Medium,Special packaging needed,15743.29,173176.15,Robert Wilson,Alice Brown
PO-2026-84773,Tech Solutions Ltd,2026-01-22,2026-02-13,2026-02-13,89x Laptop,89,827.74,73668.86,EUR,Due on Receipt,Operations,Chicago,Pending,Low,,7366.89,81035.75,John Smith,Alice Brown
PO-2026-65561,Enterprise Solutions,2026-01-22,2026-01-29,2026-01-29,2x SSD Storage; 1x Keyboard; 64x Printer Paper,67,169.05,9802.36,AUD,Net 30,Operations,New York,Rejected,Low,Special packaging needed,980.24,10782.60,John Smith,David Lee
PO-2026-71577,Tech Solutions Ltd,2026-01-22,2026-01-31,2026-01-31,65x SSD Storage; 13x Router; 16x Server RAM,94,886.95,80474.67,USD,COD,HR,New York,Rejected,Low,,8047.47,88522.14,Mike Davis,Tom Martinez
PO-2026-43637,Industrial Parts Group,2026-01-22,2026-02-08,2026-02-08,53x SSD Storage; 13x Router; 71x Monitor; 75x Mouse,212,563.04,117591.77,GBP,2/10 Net 30,HR,Toronto,Rejected,Medium,Quality inspection required,11759.18,129350.95,Mike Davis,Alice Brown
PO-2026-37111,Tech Solutions Ltd,2026-01-22,2026-02-01,2026-02-01,42x Power Supply; 24x Network Switch; 65x Ink Cartridge,131,907.33,107297.42,CAD,Due on Receipt,IT,Sydney,Approved,Low,Special packaging needed,10729.74,118027.16,Robert Wilson,Jessica White
PO-2026-72468,Global Supplies Inc,2026-01-22,2026-02-19,2026-02-19,2x Network Switch; 21x Power Supply; 13x Laptop; 14x Printer Paper,50,930.04,18551.25,USD,Net 60,HR,London,Approved,Medium,Standard delivery,1855.13,20406.38,John Smith,David Lee
PO-2026-86022,Component World,2026-01-22,2026-02-12,2026-02-12,98x Filing Cabinet; 94x Office Desk,192,374.32,41229.20,AUD,Net 90,Finance,New York,Approved,High,Urgent delivery required,4122.92,45352.12,Sarah Johnson,David Lee
PO-2026-45648,Quality Distributors,2026-01-22,2026-02-09,2026-02-09,70x Router; 32x Filing Cabinet; 60x Power Supply,162,230.49,90327.94,AUD,Net 90,Finance,New York,Rejected,Urgent,,9032.79,99360.73,Emily Chen,Jessica White
PO-2026-70215,Global Supplies Inc,2026-01-22,2026-02-13,2026-02-13,67x Ink Cartridge; 85x Router; 87x Mouse; 67x Office Desk,306,113.09,67370.98,AUD,Net 60,Logistics,Chicago,Rejected,Medium,Standard delivery,6737.10,74108.08,Mike Davis,Alice Brown
PO-2026-69522,Global Supplies Inc,2026-01-22,2026-02-04,2026-02-04,45x Filing Cabinet,45,475.24,21385.80,USD,COD,IT,Toronto,Rejected,High,Urgent delivery required,2138.58,23524.38,Robert Wilson,Tom Martinez
PO-2026-88395,Quality Distributors,2026-01-22,2026-02-19,2026-02-19,29x Monitor; 69x Server RAM; 59x Router; 36x SSD Storage; 76x Printer Paper,269,331.75,198830.30,USD,COD,HR,Los Angeles,Pending,High,,19883.03,218713.33,Emily Chen,Lisa Anderson
PO-2026-21775,Office Plus,2026-01-22,2026-02-17,2026-02-17,73x Filing Cabinet; 9x Filing Cabinet,82,910.71,67965.66,GBP,Net 90,Logistics,Sydney,Rejected,High,Urgent delivery required,6796.57,74762.23,John Smith,Lisa Anderson
PO-2026-27079,Premium Materials Co,2026-01-22,2026-02-18,2026-02-18,31x USB Cable; 90x Mouse; 69x Server RAM,190,98.99,102728.81,USD,Net 30,HR,Los Angeles,Rejected,Urgent,Quality inspection required,10272.88,113001.69,Mike Davis,Tom Martinez
PO-2026-27482,Global Supplies Inc,2026-01-22,2026-02-19,2026-02-19,73x Printer Paper; 87x USB Cable,160,570.03,87536.88,AUD,2/10 Net 30,Logistics,Toronto,Pending,Low,,8753.69,96290.57,John Smith,David Lee
PO-2026-37490,Acme Corp,2026-01-22,2026-02-21,2026-02-21,23x USB Cable; 22x Server RAM; 95x Keyboard,140,721.52,112255.70,CAD,Net 90,Operations,London,Approved,High,,11225.57,123481.27,Sarah Johnson,Jessica White
PO-2026-36681,Digital Systems,2026-01-22,2026-02-06,2026-02-06,13x Power Supply; 87x Printer Paper; 57x SSD Storage; 62x Office Desk,219,347.30,141792.92,CAD,COD,Operations,Los Angeles,Pending,Medium,Urgent delivery required,14179.29,155972.21,Sarah Johnson,Alice Brown
PO-2026-41843,Digital Systems,2026-01-22,2026-02-08,2026-02-08,1x Desk Chair,1,672.13,672.13,CAD,Due on Receipt,HR,New York,Rejected,Low,Quality inspection required,67.21,739.34,Sarah Johnson,Tom Martinez
PO-2026-92830,Global Supplies Inc,2026-01-22,2026-01-27,2026-01-27,33x Keyboard; 18x Ink Cartridge,51,757.84,33810.72,CAD,Net 30,HR,London,Rejected,Medium,Special packaging needed,3381.07,37191.79,Mike Davis,Tom Martinez
PO-2026-90470,Industrial Parts Group,2026-01-22,2026-02-06,2026-02-06,81x Router; 73x Power Supply; 98x Office Desk,252,967.92,129496.96,EUR,Net 90,Operations,Sydney,Pending,High,,12949.70,142446.66,Emily Chen,Alice Brown
PO-2026-32414,Office Plus,2026-01-22,2026-01-28,2026-01-28,88x Office Desk; 50x Filing Cabinet,138,278.07,71232.66,USD,Net 30,IT,Chicago,Pending,Urgent,Standard delivery,7123.27,78355.93,Sarah Johnson,Jessica White
PO-2026-95479,Quality Distributors,2026-01-22,2026-02-10,2026-02-10,18x SSD Storage; 79x Router; 65x Office Desk; 81x Monitor,243,711.98,52422.92,GBP,Net 30,HR,Los Angeles,Approved,Urgent,Quality inspection required,5242.29,57665.21,Mike Davis,Tom Martinez
PO-2026-74896,Office Plus,2026-01-22,2026-02-13,2026-02-13,10x USB Cable; 66x Ink Cartridge; 52x Laptop,128,543.11,57503.00,USD,Net 90,IT,Toronto,Rejected,High,Urgent delivery required,5750.30,63253.30,Emily Chen,Lisa Anderson
PO-2026-37057,Office Plus,2026-01-22,2026-02-17,2026-02-17,75x Server RAM; 19x USB Cable,94,604.93,52635.73,CAD,Net 30,HR,Sydney,Rejected,High,Special packaging needed,5263.57,57899.30,Sarah Johnson,Alice Brown
PO-2026-26699,Office Plus,2026-01-22,2026-01-30,2026-01-30,40x Server RAM; 39x Keyboard,79,639.67,58588.60,GBP,Net 90,HR,London,Rejected,Medium,Standard delivery,5858.86,64447.46,Robert Wilson,Jessica White
PO-2026-96620,Digital Systems,2026-01-22,2026-02-15,2026-02-15,25x Network Switch; 59x Office Desk; 51x Filing Cabinet; 70x Router,205,230.41,118959.32,CAD,Net 60,IT,Sydney,Rejected,Medium,Quality inspection required,11895.93,130855.25,Sarah Johnson,David Lee
PO-2026-52914,Acme Corp,2026-01-22,2026-02-17,2026-02-17,50x Power Supply,50,890.13,44506.50,USD,2/10 Net 30,Logistics,Toronto,Approved,Medium,Standard delivery,4450.65,48957.15,Sarah Johnson,David Lee
PO-2026-97371,Industrial Parts Group,2026-01-22,2026-02-06,2026-02-06,92x Router; 27x Mouse,119,957.70,111480.95,AUD,Net 90,Logistics,Sydney,Rejected,Medium,Special packaging needed,11148.10,122629.05,Sarah Johnson,Lisa Anderson
PO-2026-50296,Office Plus,2026-01-22,2026-01-29,2026-01-29,48x Printer Paper; 17x SSD Storage; 96x Office Desk; 100x Office Desk,261,932.79,113999.72,EUR,Net 60,Operations,Los Angeles,Pending,Urgent,Standard delivery,11399.97,125399.69,Emily Chen,Lisa Anderson
PO-2026-99374,Tech Solutions Ltd,2026-01-22,2026-01-28,2026-01-28,49x Desk Chair; 20x USB Cable,69,390.47,31607.63,GBP,Net 30,HR,Toronto,Pending,High,Standard delivery,3160.76,34768.39,Sarah Johnson,David Lee
PO-2026-71961,Acme Corp,2026-01-22,2026-02-19,2026-02-19,17x Router,17,182.43,3101.31,CAD,COD,HR,Toronto,Approved,Medium,Special packaging needed,310.13,3411.44,Mike Davis,Lisa Anderson
PO-2026-26812,Acme Corp,2026-01-22,2026-02-03,2026-02-03,1x Office Desk; 14x SSD Storage; 57x SSD Storage; 9x Power Supply,81,773.53,56152.30,USD,Net 60,HR,Los Angeles,Approved,Low,Special packaging needed,5615.23,61767.53,Robert Wilson,Jessica White
PO-2026-29540,Acme Corp,2026-01-22,2026-01-29,2026-01-29,16x Network Switch; 22x Server RAM,38,89.60,4529.88,AUD,Net 90,Operations,Sydney,Pending,Low,Quality inspection required,452.99,4982.87,Sarah Johnson,David Lee
PO-2026-88984,Quality Distributors,2026-01-22,2026-02-21,2026-02-21,39x Ink Cartridge; 83x Desk Chair,122,86.07,36425.59,AUD,Due on Receipt,Operations,London,Approved,Medium,Standard delivery,3642.56,40068.15,Sarah Johnson,David Lee
PO-2026-21904,Premium Materials Co,2026-01-22,2026-01-29,2026-01-29,31x Keyboard; 47x Laptop,78,223.46,42788.73,AUD,Net 60,Finance,Toronto,Pending,High,,4278.87,47067.60,John Smith,David Lee
PO-2026-98018,Global Supplies Inc,2026-01-22,2026-02-05,2026-02-05,98x Printer Paper; 26x Laptop; 46x Keyboard; 57x Mouse,227,733.23,148904.76,EUR,COD,Logistics,London,Rejected,Medium,Standard delivery,14890.48,163795.24,John Smith,Jessica White
PO-2026-87613,Tech Solutions Ltd,2026-01-22,2026-01-30,2026-01-30,24x Mouse,24,663.75,15930.00,CAD,Net 90,Logistics,Toronto,Rejected,High,Standard delivery,1593.00,17523.00,Emily Chen,Lisa Anderson
PO-2026-68221,Premium Materials Co,2026-01-22,2026-02-15,2026-02-15,49x Laptop; 93x Desk Chair; 56x SSD Storage; 9x Keyboard; 10x Desk Chair,217,103.91,121644.13,AUD,2/10 Net 30,Logistics,Chicago,Rejected,Low,Urgent delivery required,12164.41,133808.54,John Smith,Alice Brown
PO-2026-37579,Global Supplies Inc,2026-01-22,2026-02-04,2026-02-04,10x SSD Storage; 74x Keyboard; 100x SSD Storage,184,612.71,85248.38,GBP,Due on Receipt,Logistics,Los Angeles,Rejected,High,Quality inspection required,8524.84,93773.22,Mike Davis,Jessica White
PO-2026-69474,Premium Materials Co,2026-01-22,2026-02-03,2026-02-03,54x Mouse,54,785.97,42442.38,AUD,2/10 Net 30,Operations,Toronto,Pending,Low,Quality inspection required,4244.24,46686.62,Emily Chen,David Lee
PO-2026-46960,Quality Distributors,2026-01-22,2026-02-13,2026-02-13,53x USB Cable; 85x Office Desk,138,449.55,41713.55,USD,Net 60,Logistics,Sydney,Pending,High,Urgent delivery required,4171.36,45884.91,Emily Chen,Jessica White
PO-2026-58910,Office Plus,2026-01-22,2026-02-12,2026-02-12,28x Power Supply; 13x Server RAM; 9x Mouse,50,288.42,28111.76,EUR,COD,IT,Sydney,Rejected,Urgent,Urgent delivery required,2811.18,30922.94,Emily Chen,Tom Martinez
PO-2026-33138,Office Plus,2026-01-22,2026-02-03,2026-02-03,81x Desk Chair; 8x Mouse,89,158.55,14574.39,USD,Due on Receipt,Finance,Toronto,Approved,Medium,Standard delivery,1457.44,16031.83,Sarah Johnson,Tom Martinez
PO-2026-55799,Tech Solutions Ltd,2026-01-22,2026-01-28,2026-01-28,72x Filing Cabinet; 59x Filing Cabinet; 86x Router; 89x Printer Paper; 49x Laptop,355,126.18,140487.71,USD,Net 60,IT,New York,Approved,Urgent,Special packaging needed,14048.77,154536.48,John Smith,Alice Brown
PO-2026-82727,Component World,2026-01-22,2026-01-29,2026-01-29,77x Printer Paper; 7x Office Desk; 37x Mouse,121,461.30,60126.34,USD,2/10 Net 30,Logistics,Toronto,Approved,Low,Standard delivery,6012.63,66138.97,Mike Davis,Jessica White
PO-2026-17536,Quality Distributors,2026-01-22,2026-02-09,2026-02-09,49x Filing Cabinet; 93x SSD Storage; 82x Server RAM; 99x Power Supply,323,126.51,173070.67,USD,COD,Logistics,Los Angeles,Rejected,Low,,17307.07,190377.74,Robert Wilson,Alice Brown
PO-2026-18960,Industrial Parts Group,2026-01-22,2026-02-11,2026-02-11,17x Laptop; 90x Server RAM,107,839.57,16606.39,USD,Net 60,Logistics,London,Pending,Medium,Urgent delivery required,1660.64,18267.03,Robert Wilson,Tom Martinez
PO-2026-36464,Premium Materials Co,2026-01-22,2026-01-27,2026-01-27,97x Power Supply,97,196.32,19043.04,AUD,Net 60,HR,Chicago,Pending,Medium,,1904.30,20947.34,Robert Wilson,David Lee
PO-2026-97829,Enterprise Solutions,2026-01-22,2026-02-18,2026-02-18,18x Ink Cartridge; 68x Filing Cabinet; 86x Printer Paper,172,86.24,68182.78,AUD,Net 60,Operations,London,Approved,High,,6818.28,75001.06,Emily Chen,Lisa Anderson
PO-2026-81544,Tech Solutions Ltd,2026-01-22,2026-02-07,2026-02-07,90x Office Desk; 59x Ink Cartridge,149,551.20,97785.63,AUD,Due on Receipt,Operations,New York,Rejected,Medium,Standard delivery,9778.56,107564.19,Sarah Johnson,Tom Martinez
PO-2026-14513,Premium Materials Co,2026-01-22,2026-02-07,2026-02-07,58x Power Supply; 54x Mouse; 31x Filing Cabinet,143,778.26,110156.71,GBP,Net 30,Operations,Chicago,Approved,Urgent,Urgent delivery required,11015.67,121172.38,Sarah Johnson,Alice Brown
PO-2026-23668,Enterprise Solutions,2026-01-22,2026-02-09,2026-02-09,35x Office Desk; 70x Server RAM; 68x Laptop; 75x SSD Storage; 84x Printer Paper,332,468.70,150765.06,EUR,COD,Logistics,Sydney,Pending,High,,15076.51,165841.57,Robert Wilson,Tom Martinez
PO-2026-87116,Office Plus,2026-01-22,2026-02-01,2026-02-01,56x Printer Paper; 35x Filing Cabinet; 55x Power Supply; 20x USB Cable,166,921.80,106449.65,GBP,Due on Receipt,IT,Sydney,Pending,High,Quality inspection required,10644.97,117094.62,John Smith,David Lee
PO-2026-77976,Office Plus,2026-01-22,2026-02-15,2026-02-15,44x Router,44,617.53,27171.32,USD,Due on Receipt,HR,Chicago,Rejected,High,Urgent delivery required,2717.13,29888.45,Emily Chen,Alice Brown
PO-2026-85143,Quality Distributors,2026-01-22,2026-01-31,2026-01-31,82x Printer Paper; 72x Server RAM; 69x Laptop; 5x Printer Paper,228,846.02,152634.45,AUD,Net 90,Operations,Toronto,Approved,Urgent,,15263.44,167897.89,Robert Wilson,Lisa Anderson
PO-2026-93752,Global Supplies Inc,2026-01-22,2026-02-05,2026-02-05,62x Mouse; 22x Office Desk; 55x Printer Paper; 7x Laptop,146,539.18,87666.60,AUD,COD,Operations,Toronto,Rejected,High,,8766.66,96433.26,John Smith,Jessica White
PO-2026-79960,Acme Corp,2026-01-22,2026-02-21,2026-02-21,59x Server RAM,59,950.51,56080.09,AUD,Net 30,Operations,London,Rejected,High,,5608.01,61688.10,Robert Wilson,Jessica White
PO-2026-88393,Enterprise Solutions,2026-01-22,2026-02-02,2026-02-02,33x USB Cable; 49x Laptop; 2x USB Cable; 23x Office Desk,107,669.63,73874.59,AUD,Due on Receipt,HR,New York,Approved,Urgent,Standard delivery,7387.46,81262.05,Mike Davis,David Lee
PO-2026-22476,Enterprise Solutions,2026-01-22,2026-02-10,2026-02-10,69x Laptop; 82x Mouse,151,895.14,72917.48,AUD,COD,HR,Chicago,Rejected,Urgent,Standard delivery,7291.75,80209.23,Robert Wilson,Tom Martinez
PO-2026-50962,Premium Materials Co,2026-01-22,2026-02-08,2026-02-08,66x Laptop,66,471.75,31135.50,AUD,Net 90,Operations,Toronto,Approved,High,,3113.55,34249.05,Robert Wilson,David Lee
PO-2026-94234,Enterprise Solutions,2026-01-22,2026-02-21,2026-02-21,53x Ink Cartridge; 53x USB Cable; 40x Desk Chair,146,693.40,100244.12,USD,Net 30,IT,Toronto,Pending,Medium,Urgent delivery required,10024.41,110268.53,Sarah Johnson,Jessica White
PO-2026-92108,Tech Solutions Ltd,2026-01-22,2026-01-29,2026-01-29,72x Desk Chair; 4x Printer Paper; 91x Monitor,167,707.91,56878.98,GBP,Net 30,IT,London,Rejected,Medium,,5687.90,62566.88,Sarah Johnson,Jessica White
PO-2026-89977,Enterprise Solutions,2026-01-22,2026-02-03,2026-02-03,24x Laptop,24,924.71,22193.04,EUR,Net 60,Logistics,Chicago,Pending,Urgent,Standard delivery,2219.30,24412.34,Robert Wilson,Lisa Anderson
PO-2026-12615,Digital Systems,2026-01-22,2026-02-05,2026-02-05,49x Office Desk; 84x Keyboard; 58x Router; 100x Mouse; 90x Monitor,381,789.01,261145.85,USD,Net 30,HR,London,Rejected,Low,,26114.59,287260.44,John Smith,Tom Martinez
PO-2026-71091,Office Plus,2026-01-22,2026-01-27,2026-01-27,8x Filing Cabinet; 57x Office Desk; 55x Monitor; 85x Keyboard; 44x Monitor,249,180.01,199197.00,USD,Due on Receipt,Operations,Los Angeles,Pending,High,Special packaging needed,19919.70,219116.70,Robert Wilson,Alice Brown
PO-2026-31904,Digital Systems,2026-01-22,2026-02-11,2026-02-11,36x USB Cable,36,530.02,19080.72,USD,COD,HR,Toronto,Approved,Low,Quality inspection required,1908.07,20988.79,John Smith,David Lee
