PO Number,Vendor,PO Date,Delivery Date,Expected Delivery,Item Description,Quantity,Unit Price,Total Amount,Currency,Status,Payment Terms,Department,Location,Approval Status,Notes,Tax Amount,Grand Total,Created By,Assigned To
PO-2026-66176,Acme Corp,2026-01-22,2026-02-03,2026-02-03,40x Ink Cartridge; 14x Mouse; 42x Ink Cartridge; 58x Network Switch,154,167.57,85236.10,GBP,Received,Net 60,HR,Toronto,Pending,Special packaging needed,8523.61,93759.71,John Smith,Tom Martinez
PO-2026-73540,Premium Materials Co,2026-01-22,2026-02-09,2026-02-09,35x Router,35,992.03,34721.05,AUD,Cancelled,COD,IT,Chicago,Pending,Standard delivery,3472.11,38193.16,John Smith,Alice Brown
PO-2026-98488,Office Plus,2026-01-22,2026-02-10,2026-02-10,19x SSD Storage; 12x Desk Chair; 42x Desk Chair; 66x Network Switch; 59x Ink Cartridge,198,66.17,112372.88,EUR,Cancelled,COD,IT,Toronto,Pending,Special packaging needed,11237.29,123610.17,Mike Davis,David Lee
PO-2026-98031,Digital Systems,2026-01-22,2026-02-07,2026-02-07,31x Laptop; 79x Power Supply; 60x USB Cable,170,268.29,141245.10,AUD,Approved,Net 30,HR,Sydney,Pending,Quality inspection required,14124.51,155369.61,Emily Chen,Lisa Anderson
PO-2026-86036,Global Supplies Inc,2026-01-22,2026-02-05,2026-02-05,71x Ink Cartridge; 17x Desk Chair; 83x Server RAM; 88x Monitor,259,457.17,147703.30,USD,Partial,Due on Receipt,IT,Sydney,Pending,Special packaging needed,14770.33,162473.63,Emily Chen,Tom Martinez
PO-2026-55481,Industrial Parts Group,2026-01-22,2026-02-15,2026-02-15,93x Monitor; 54x Power Supply; 30x Laptop; 61x Ink Cartridge,238,3.24,47994.64,CAD,Received,COD,IT,London,Approved,Standard delivery,4799.46,52794.10,Robert Wilson,Alice Brown
PO-2026-14012,Tech Solutions Ltd,2026-01-22,2026-02-11,2026-02-11,19x Office Desk; 30x Network Switch; 44x Mouse; 47x Office Desk,140,283.28,76737.55,EUR,Approved,Due on Receipt,Finance,Los Angeles,Approved,Quality inspection required,7673.76,84411.31,Sarah Johnson,Alice Brown
PO-2026-99473,Office Plus,2026-01-22,2026-02-03,2026-02-03,16x Office Desk; 95x Mouse; 60x Ink Cartridge; 100x Ink Cartridge,271,975.24,108453.49,EUR,Draft,COD,IT,New York,Approved,Urgent delivery required,10845.35,119298.84,Emily Chen,Alice Brown
PO-2026-25905,Office Plus,2026-01-22,2026-02-02,2026-02-02,50x Desk Chair; 6x Power Supply,56,678.11,39354.76,AUD,Cancelled,2/10 Net 30,IT,Sydney,Rejected,Urgent delivery required,3935.48,43290.24,Mike Davis,Jessica White
PO-2026-61090,Digital Systems,2026-01-22,2026-02-11,2026-02-11,83x Router; 18x Mouse,101,133.68,16171.98,USD,Approved,Net 30,Finance,Sydney,Rejected,Urgent delivery required,1617.20,17789.18,John Smith,Lisa Anderson
PO-2026-80868,Global Supplies Inc,2026-01-22,2026-01-28,2026-01-28,11x Network Switch; 100x Keyboard; 94x Router; 26x Network Switch,231,322.97,70673.75,AUD,Cancelled,Net 90,Finance,Chicago,Rejected,,7067.38,77741.13,Emily Chen,Alice Brown
PO-2026-93111,Digital Systems,2026-01-22,2026-02-09,2026-02-09,42x Filing Cabinet; 1x Power Supply; 35x Desk Chair; 59x Ink Cartridge; 30x Office Desk,167,169.31,70814.44,CAD,Received,COD,IT,Sydney,Rejected,Special packaging needed,7081.44,77895.88,Robert Wilson,Tom Martinez
PO-2026-86303,Component World,2026-01-22,2026-02-01,2026-02-01,60x Office Desk; 32x Power Supply; 86x USB Cable; 56x Office Desk,234,666.03,201019.68,CAD,Partial,Due on Receipt,Finance,Toronto,Rejected,Urgent delivery required,20101.97,221121.65,Robert Wilson,Alice Brown
PO-2026-53385,Industrial Parts Group,2026-01-22,2026-02-11,2026-02-11,8x USB Cable; 9x Office Desk; 17x Monitor; 85x USB Cable; 52x Power Supply,171,477.48,127256.04,AUD,Pending,2/10 Net 30,HR,Sydney,Approved,Urgent delivery required,12725.60,139981.64,John Smith,Alice Brown
PO-2026-32350,Premium Materials Co,2026-01-22,2026-02-07,2026-02-07,69x Filing Cabinet,69,941.65,64973.85,AUD,Approved,Net 30,IT,Sydney,Approved,Special packaging needed,6497.39,71471.24,Robert Wilson,David Lee
PO-2026-73582,Tech Solutions Ltd,2026-01-22,2026-02-16,2026-02-16,56x Filing Cabinet; 89x Ink Cartridge; 15x Laptop,160,343.72,26228.56,USD,Partial,Due on Receipt,Operations,New York,Approved,,2622.86,28851.42,John Smith,Tom Martinez
PO-2026-77006,Component World,2026-01-22,2026-02-14,2026-02-14,21x Monitor; 10x Mouse; 63x Server RAM; 58x Filing Cabinet,152,507.86,81257.56,AUD,Approved,Net 90,Finance,New York,Rejected,Urgent delivery required,8125.76,89383.32,Emily Chen,Tom Martinez
PO-2026-53204,Quality Distributors,2026-01-22,2026-02-07,2026-02-07,27x Power Supply; 94x Router; 68x Printer Paper,189,647.60,149744.56,CAD,Received,Net 30,Finance,New York,Rejected,Urgent delivery required,14974.46,164719.02,Robert Wilson,Jessica White
PO-2026-68634,Acme Corp,2026-01-22,2026-01-29,2026-01-29,45x SSD Storage; 82x USB Cable; 31x USB Cable; 26x Power Supply,184,533.37,79229.21,AUD,Received,2/10 Net 30,HR,Los Angeles,Pending,Standard delivery,7922.92,87152.13,Mike Davis,David Lee
PO-2026-94807,Global Supplies Inc,2026-01-22,2026-02-10,2026-02-10,22x Network Switch,22,683.40,15034.80,AUD,Cancelled,Net 60,Logistics,London,Approved,Standard delivery,1503.48,16538.28,Emily Chen,Tom Martinez
PO-2026-61449,Quality Distributors,2026-01-22,2026-01-27,2026-01-27,93x USB Cable; 87x Mouse; 13x Mouse; 94x Mouse,287,951.67,172424.85,EUR,Received,COD,Finance,New York,Rejected,Urgent delivery required,17242.48,189667.33,John Smith,Alice Brown
PO-2026-44789,Acme Corp,2026-01-22,2026-01-31,2026-01-31,28x Router; 40x Printer Paper; 81x Server RAM; 78x Printer Paper,227,531.49,72620.98,CAD,Pending,2/10 Net 30,HR,Toronto,Approved,Quality inspection required,7262.10,79883.08,Robert Wilson,David Lee
PO-2026-96333,Digital Systems,2026-01-22,2026-02-01,2026-02-01,35x Server RAM; 81x Ink Cartridge,116,658.47,24809.82,CAD,Draft,Net 30,HR,Sydney,Pending,Standard delivery,2480.98,27290.80,Emily Chen,Jessica White
PO-2026-76687,Digital Systems,2026-01-22,2026-02-21,2026-02-21,67x Mouse; 41x Printer Paper,108,871.72,93584.06,GBP,Cancelled,Net 90,HR,New York,Pending,Standard delivery,9358.41,102942.47,Sarah Johnson,Alice Brown
PO-2026-45951,Quality Distributors,2026-01-22,2026-02-06,2026-02-06,96x Mouse; 76x Ink Cartridge; 11x Keyboard,183,752.62,84531.61,USD,Received,COD,IT,Chicago,Rejected,Special packaging needed,8453.16,92984.77,Sarah Johnson,Tom Martinez
PO-2026-53528,Industrial Parts Group,2026-01-22,2026-02-21,2026-02-21,8x Mouse; 57x USB Cable; 59x Network Switch; 69x Power Supply,193,554.02,125846.31,GBP,Partial,Net 30,IT,Chicago,Pending,Standard delivery,12584.63,138430.94,John Smith,Lisa Anderson
PO-2026-59239,Quality Distributors,2026-01-22,2026-02-07,2026-02-07,41x Power Supply; 35x Ink Cartridge,76,550.86,38924.31,CAD,Partial,Net 60,Operations,New York,Approved,Quality inspection required,3892.43,42816.74,John Smith,Lisa Anderson
PO-2026-70607,Premium Materials Co,2026-01-22,2026-02-11,2026-02-11,24x USB Cable,24,58.84,1412.16,CAD,Partial,2/10 Net 30,Finance,Sydney,Rejected,Special packaging needed,141.22,1553.38,Emily Chen,Lisa Anderson
PO-2026-60130,Industrial Parts Group,2026-01-22,2026-02-07,2026-02-07,61x Filing Cabinet; 48x Network Switch,109,806.89,95532.13,USD,Partial,Net 30,Finance,New York,Pending,Special packaging needed,9553.21,105085.34,Robert Wilson,David Lee
PO-2026-98023,Global Supplies Inc,2026-01-22,2026-01-28,2026-01-28,84x Server RAM; 69x Filing Cabinet; 75x Filing Cabinet,228,992.51,129314.13,CAD,Cancelled,Net 60,Finance,Sydney,Rejected,,12931.41,142245.54,Emily Chen,Jessica White
PO-2026-55108,Industrial Parts Group,2026-01-22,2026-02-06,2026-02-06,85x Server RAM; 86x Network Switch; 31x Power Supply; 24x Power Supply,226,181.46,94217.35,EUR,Cancelled,2/10 Net 30,Logistics,Toronto,Approved,Standard delivery,9421.74,103639.09,John Smith,Alice Brown
PO-2026-77916,Premium Materials Co,2026-01-22,2026-01-29,2026-01-29,50x Power Supply; 91x Power Supply; 86x Server RAM; 64x SSD Storage,291,569.86,187492.09,USD,Pending,Net 60,IT,Toronto,Rejected,Urgent delivery required,18749.21,206241.30,John Smith,David Lee
PO-2026-60263,Component World,2026-01-22,2026-01-30,2026-01-30,29x USB Cable; 48x Office Desk,77,324.11,27091.03,USD,Partial,Net 90,Logistics,Chicago,Approved,Quality inspection required,2709.10,29800.13,Sarah Johnson,Tom Martinez
PO-2026-84873,Premium Materials Co,2026-01-22,2026-02-06,2026-02-06,84x Network Switch; 60x Ink Cartridge; 64x Network Switch; 69x USB Cable; 36x Power Supply,313,911.76,196896.35,CAD,Approved,Due on Receipt,Finance,London,Rejected,Standard delivery,19689.64,216585.99,Robert Wilson,David Lee
PO-2026-76653,Enterprise Solutions,2026-01-22,2026-02-17,2026-02-17,83x Network Switch; 93x Ink Cartridge; 76x USB Cable; 94x USB Cable; 80x Mouse,426,252.02,169130.62,USD,Cancelled,2/10 Net 30,Operations,Sydney,Rejected,,16913.06,186043.68,Robert Wilson,Lisa Anderson
PO-2026-42803,Component World,2026-01-22,2026-02-15,2026-02-15,63x Network Switch; 6x SSD Storage; 78x Monitor; 91x Printer Paper; 4x Mouse,242,901.91,195721.61,USD,Cancelled,Net 30,Operations,New York,Approved,,19572.16,215293.77,Mike Davis,Tom Martinez
PO-2026-14493,Acme Corp,2026-01-22,2026-02-14,2026-02-14,50x Server RAM; 28x Monitor; 88x Filing Cabinet; 25x Ink Cartridge,191,813.49,65343.76,GBP,Approved,Net 30,HR,New York,Pending,Special packaging needed,6534.38,71878.14,John Smith,Alice Brown
PO-2026-69227,Industrial Parts Group,2026-01-22,2026-02-15,2026-02-15,82x Monitor; 16x Mouse; 75x SSD Storage; 11x Network Switch,184,879.81,121770.17,GBP,Partial,Due on Receipt,IT,Chicago,Pending,Urgent delivery required,12177.02,133947.19,Emily Chen,Lisa Anderson
PO-2026-17786,Quality Distributors,2026-01-22,2026-01-31,2026-01-31,5x Power Supply; 99x SSD Storage; 85x Laptop,189,952.86,84647.42,AUD,Received,COD,IT,London,Pending,Special packaging needed,8464.74,93112.16,Mike Davis,Jessica White
PO-2026-79130,Quality Distributors,2026-01-22,2026-02-15,2026-02-15,44x Printer Paper; 85x Ink Cartridge; 42x Printer Paper,171,832.48,89686.76,EUR,Partial,Net 30,Logistics,Chicago,Rejected,Special packaging needed,8968.68,98655.44,Emily Chen,Jessica White
PO-2026-34186,Acme Corp,2026-01-22,2026-02-02,2026-02-02,48x Filing Cabinet; 28x Ink Cartridge; 38x Power Supply; 2x Server RAM; 69x Power Supply,185,312.66,105744.11,USD,Approved,Net 30,Finance,Los Angeles,Pending,Quality inspection required,10574.41,116318.52,John Smith,Alice Brown
PO-2026-29922,Industrial Parts Group,2026-01-22,2026-02-07,2026-02-07,2x Desk Chair; 15x Power Supply; 46x Office Desk,63,735.82,36162.74,GBP,Cancelled,Due on Receipt,Logistics,Sydney,Rejected,Standard delivery,3616.27,39779.01,John Smith,Jessica White
PO-2026-26240,Acme Corp,2026-01-22,2026-02-16,2026-02-16,59x Ink Cartridge,59,977.86,57693.74,USD,Cancelled,Net 60,HR,London,Approved,,5769.37,63463.11,Emily Chen,Tom Martinez
PO-2026-34276,Global Supplies Inc,2026-01-22,2026-01-28,2026-01-28,42x Monitor; 58x Printer Paper; 69x Filing Cabinet; 80x Office Desk; 84x Keyboard,333,995.85,148063.49,EUR,Cancelled,COD,IT,Toronto,Pending,Standard delivery,14806.35,162869.84,John Smith,Alice Brown
PO-2026-66509,Tech Solutions Ltd,2026-01-22,2026-01-31,2026-01-31,47x Power Supply; 87x Network Switch; 33x Filing Cabinet; 87x Printer Paper; 89x Desk Chair,343,394.62,162780.23,USD,Draft,Net 90,Operations,New York,Approved,Quality inspection required,16278.02,179058.25,Robert Wilson,Alice Brown
PO-2026-71931,Tech Solutions Ltd,2026-01-22,2026-02-05,2026-02-05,36x Server RAM; 84x Server RAM; 24x Office Desk,144,672.92,74891.04,CAD,Cancelled,2/10 Net 30,IT,Los Angeles,Pending,Special packaging needed,7489.10,82380.14,Emily Chen,Lisa Anderson
PO-2026-42837,Component World,2026-01-22,2026-02-17,2026-02-17,66x Mouse; 18x Ink Cartridge; 36x SSD Storage,120,76.25,35677.68,USD,Cancelled,Net 30,Finance,New York,Pending,Standard delivery,3567.77,39245.45,Robert Wilson,Alice Brown
PO-2026-59615,Office Plus,2026-01-22,2026-02-20,2026-02-20,20x Printer Paper,20,608.54,12170.80,USD,Pending,Due on Receipt,Finance,Toronto,Pending,,1217.08,13387.88,Sarah Johnson,Jessica White
PO-2026-48497,Component World,2026-01-22,2026-02-06,2026-02-06,1x USB Cable; 97x Desk Chair; 36x Filing Cabinet; 72x USB Cable; 17x USB Cable,223,802.56,86715.75,CAD,Pending,2/10 Net 30,Operations,Sydney,Pending,,8671.58,95387.33,Mike Davis,Alice Brown
PO-2026-89724,Premium Materials Co,2026-01-22,2026-01-27,2026-01-27,53x Filing Cabinet; 39x Keyboard; 8x Desk Chair,100,651.58,53815.94,CAD,Received,Net 30,Operations,Los Angeles,Approved,Standard delivery,5381.59,59197.53,Mike Davis,Alice Brown
PO-2026-33381,Premium Materials Co,2026-01-22,2026-02-01,2026-02-01,53x Router; 44x Office Desk; 79x Desk Chair; 51x USB Cable; 88x USB Cable,315,42.58,186134.35,USD,Approved,COD,HR,Chicago,Rejected,Special packaging needed,18613.44,204747.79,Robert Wilson,David Lee
PO-2026-55538,Industrial Parts Group,2026-01-22,2026-02-01,2026-02-01,33x Desk Chair; 2x SSD Storage; 57x Ink Cartridge; 56x SSD Storage,148,742.32,55292.00,CAD,Pending,2/10 Net 30,IT,Chicago,Approved,Urgent delivery required,5529.20,60821.20,Mike Davis,Tom Martinez
PO-2026-17721,Quality Distributors,2026-01-22,2026-02-01,2026-02-01,11x Router; 20x Desk Chair; 17x Mouse; 83x Monitor; 56x Router,187,308.67,106302.99,USD,Partial,Net 60,Logistics,Toronto,Approved,,10630.30,116933.29,Mike Davis,Alice Brown
PO-2026-81417,Office Plus,2026-01-22,2026-02-19,2026-02-19,23x Network Switch; 70x Mouse; 99x Desk Chair; 84x Monitor; 83x Monitor,359,846.35,142401.12,GBP,Approved,COD,Finance,Chicago,Rejected,,14240.11,156641.23,John Smith,Alice Brown
PO-2026-43376,Digital Systems,2026-01-22,2026-02-21,2026-02-21,75x Network Switch,75,872.95,65471.25,USD,Partial,Net 60,HR,Sydney,Pending,Quality inspection required,6547.13,72018.38,John Smith,Tom Martinez
PO-2026-60642,Premium Materials Co,2026-01-22,2026-02-15,2026-02-15,37x Monitor,37,326.78,12090.86,GBP,Pending,COD,IT,Toronto,Approved,Quality inspection required,1209.09,13299.95,Robert Wilson,Lisa Anderson
PO-2026-86797,Global Supplies Inc,2026-01-22,2026-02-03,2026-02-03,4x Printer Paper,4,937.48,3749.92,GBP,Approved,COD,IT,Los Angeles,Pending,Urgent delivery required,374.99,4124.91,Mike Davis,Alice Brown
PO-2026-25559,Enterprise Solutions,2026-01-22,2026-02-16,2026-02-16,62x Desk Chair; 28x USB Cable; 74x Network Switch,164,87.15,50439.44,CAD,Partial,Net 90,HR,Los Angeles,Approved,,5043.94,55483.38,Robert Wilson,Alice Brown
PO-2026-93173,Premium Materials Co,2026-01-22,2026-02-15,2026-02-15,94x SSD Storage; 21x Filing Cabinet,115,824.10,84197.79,GBP,Approved,Net 30,Logistics,London,Approved,Urgent delivery required,8419.78,92617.57,Mike Davis,Alice Brown
PO-2026-49309,Acme Corp,2026-01-22,2026-01-31,2026-01-31,15x Printer Paper; 42x USB Cable; 91x Server RAM; 37x Mouse,185,177.78,119025.05,AUD,Approved,Net 60,Finance,Los Angeles,Pending,Standard delivery,11902.51,130927.56,Robert Wilson,David Lee
PO-2026-58438,Industrial Parts Group,2026-01-22,2026-02-13,2026-02-13,6x Office Desk; 34x Server RAM; 78x Network Switch; 62x Keyboard,180,169.22,106677.84,EUR,Pending,Net 30,Finance,Chicago,Approved,Special packaging needed,10667.78,117345.62,Mike Davis,Lisa Anderson
PO-2026-35904,Industrial Parts Group,2026-01-22,2026-01-31,2026-01-31,86x Printer Paper; 18x Server RAM,104,1.07,4791.10,CAD,Approved,Due on Receipt,Logistics,Los Angeles,Pending,Special packaging needed,479.11,5270.21,Sarah Johnson,Lisa Anderson
PO-2026-15467,Quality Distributors,2026-01-22,2026-02-19,2026-02-19,42x Office Desk; 83x Router; 33x Network Switch,158,697.25,52418.18,CAD,Cancelled,Net 90,Finance,New York,Pending,Standard delivery,5241.82,57660.00,John Smith,Alice Brown
PO-2026-22477,Enterprise Solutions,2026-01-22,2026-02-01,2026-02-01,55x Laptop; 10x Monitor,65,80.21,8777.85,CAD,Received,Due on Receipt,Logistics,London,Pending,Quality inspection required,877.79,9655.64,Robert Wilson,Tom Martinez
PO-2026-36513,Quality Distributors,2026-01-22,2026-01-28,2026-01-28,13x Power Supply; 85x Network Switch; 85x Network Switch; 33x Keyboard,216,55.74,117770.44,USD,Cancelled,COD,Logistics,Sydney,Approved,Special packaging needed,11777.04,129547.48,Sarah Johnson,Jessica White
PO-2026-62009,Acme Corp,2026-01-22,2026-02-08,2026-02-08,13x Office Desk; 32x Printer Paper; 34x Mouse,79,143.31,24813.17,GBP,Cancelled,Net 90,Logistics,Chicago,Rejected,Urgent delivery required,2481.32,27294.49,Mike Davis,Jessica White
PO-2026-20572,Global Supplies Inc,2026-01-22,2026-02-16,2026-02-16,26x Desk Chair; 24x Mouse; 73x Server RAM,123,487.73,45481.18,USD,Received,2/10 Net 30,Finance,Toronto,Rejected,Quality inspection required,4548.12,50029.30,Robert Wilson,Lisa Anderson
PO-2026-79429,Acme Corp,2026-01-22,2026-02-17,2026-02-17,25x Ink Cartridge; 79x Router; 48x Desk Chair; 81x Filing Cabinet; 67x USB Cable,300,747.83,171333.59,AUD,Received,Net 30,Operations,Toronto,Approved,Quality inspection required,17133.36,188466.95,Sarah Johnson,David Lee
PO-2026-93339,Digital Systems,2026-01-22,2026-02-19,2026-02-19,72x Power Supply; 7x Server RAM; 39x Server RAM,118,991.70,74646.49,GBP,Received,Net 30,Logistics,Toronto,Pending,,7464.65,82111.14,Mike Davis,Jessica White
PO-2026-11109,Acme Corp,2026-01-22,2026-02-09,2026-02-09,12x Server RAM,12,138.38,1660.56,USD,Draft,Due on Receipt,Finance,New York,Approved,Urgent delivery required,166.06,1826.62,Sarah Johnson,Alice Brown
PO-2026-19836,Premium Materials Co,2026-01-22,2026-02-03,2026-02-03,7x Ink Cartridge; 76x USB Cable,83,645.67,71728.01,GBP,Cancelled,Due on Receipt,Operations,Sydney,Rejected,Special packaging needed,7172.80,78900.81,Sarah Johnson,Jessica White
PO-2026-68959,Industrial Parts Group,2026-01-22,2026-02-10,2026-02-10,33x SSD Storage; 17x Filing Cabinet; 85x Keyboard; 97x SSD Storage; 48x Filing Cabinet,280,666.47,118167.06,USD,Pending,Net 30,HR,Toronto,Approved,Standard delivery,11816.71,129983.77,Mike Davis,Jessica White
PO-2026-90759,Digital Systems,2026-01-22,2026-01-29,2026-01-29,6x Keyboard; 73x Router,79,56.55,37013.77,GBP,Draft,2/10 Net 30,Finance,Los Angeles,Approved,Urgent delivery required,3701.38,40715.15,Sarah Johnson,Tom Martinez
PO-2026-78034,Acme Corp,2026-01-22,2026-01-28,2026-01-28,19x Power Supply; 34x Monitor; 41x Mouse; 32x Ink Cartridge; 66x Network Switch,192,357.93,66210.87,AUD,Received,Net 30,Logistics,New York,Approved,Quality inspection required,6621.09,72831.96,Mike Davis,Tom Martinez
PO-2026-10985,Component World,2026-01-22,2026-02-19,2026-02-19,58x SSD Storage,58,552.68,32055.44,CAD,Cancelled,Net 60,Finance,London,Rejected,Quality inspection required,3205.54,35260.98,Sarah Johnson,Lisa Anderson
PO-2026-63635,Acme Corp,2026-01-22,2026-01-29,2026-01-29,38x USB Cable; 81x Server RAM; 74x Laptop,193,171.23,75799.29,AUD,Draft,2/10 Net 30,Finance,Toronto,Approved,Quality inspection required,7579.93,83379.22,Mike Davis,Jessica White
